Volatility 3 Framework 2.26.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xbc88bc4c6040	368	-	N/A	False	2025-09-27 10:57:02.000000 UTC	N/A	Disabled
284	4	Secure System	0xbc88bc6f5040	0	-	N/A	False	2025-09-27 10:56:55.000000 UTC	N/A	Disabled
328	4	Registry	0xbc88bc8e7080	4	-	N/A	False	2025-09-27 10:56:55.000000 UTC	N/A	Disabled
924	4	smss.exe	0xbc88dca80100	2	-	N/A	False	2025-09-27 10:57:02.000000 UTC	N/A	Disabled
1352	1152	csrss.exe	0xbc88e4bb7140	16	-	0	False	2025-09-27 10:57:07.000000 UTC	N/A	Disabled
1464	1152	wininit.exe	0xbc88eff4d240	1	-	0	False	2025-09-27 10:57:08.000000 UTC	N/A	Disabled
1472	1456	csrss.exe	0xbc88eff4b140	0	-	1	False	2025-09-27 10:57:08.000000 UTC	2025-09-27 15:02:03.000000 UTC	Disabled
1548	1464	services.exe	0xbc88f0a020c0	8	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1580	1464	LsaIso.exe	0xbc88efff9080	1	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1596	1456	winlogon.exe	0xbc88f0a06080	0	-	1	False	2025-09-27 10:57:09.000000 UTC	2025-09-27 15:02:02.000000 UTC	Disabled
1608	1464	lsass.exe	0xbc88f0a04080	14	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1776	1548	svchost.exe	0xbc88f0a57080	21	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1808	1464	fontdrvhost.ex	0xbc88f0a44080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1908	1548	svchost.exe	0xbc88ecebd0c0	16	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1952	1548	svchost.exe	0xbc88ecedf0c0	6	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
8	1548	svchost.exe	0xbc88ecf350c0	3	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1640	1548	svchost.exe	0xbc88f0d67080	6	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
1996	1548	svchost.exe	0xbc88f0d6a080	3	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2052	1548	svchost.exe	0xbc88f0d6d080	4	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2236	1548	svchost.exe	0xbc88f0dce080	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2244	1548	svchost.exe	0xbc88ecf9b0c0	4	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2344	1548	svchost.exe	0xbc88ed0130c0	6	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2440	1548	svchost.exe	0xbc88ed08a0c0	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2532	1548	svchost.exe	0xbc88f0e5e080	3	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2556	1548	svchost.exe	0xbc88f0eb1080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2580	1548	svchost.exe	0xbc88ed1240c0	57	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2692	1548	svchost.exe	0xbc88edc240c0	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2892	1548	svchost.exe	0xbc88ec8570c0	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
2228	1548	svchost.exe	0xbc88f2ba6080	14	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3112	1548	svchost.exe	0xbc88f2c5b080	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3180	1548	svchost.exe	0xbc88f2c48080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3188	1548	svchost.exe	0xbc88f2c4a080	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3196	1548	svchost.exe	0xbc88f2cb4080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3364	1548	svchost.exe	0xbc88f0f8a0c0	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3388	1548	svchost.exe	0xbc88f0fbd0c0	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3380	1548	svchost.exe	0xbc88f0fac0c0	2	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3412	4	MemCompression	0xbc88ed1cd280	78	-	N/A	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3496	1548	svchost.exe	0xbc88f2ded0c0	3	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3576	1548	svchost.exe	0xbc88f2d60080	3	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3584	1548	svchost.exe	0xbc88f2e650c0	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3592	1548	TouchpointAnal	0xbc88f2e51080	14	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3604	1548	AppHelperCap.e	0xbc88f2e70080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
3620	1548	DiagsCap.exe	0xbc88f2e7c080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	Disabled
