Volatility 3 Framework 2.26.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xbc88bc4c6040	368	-	N/A	False	2025-09-27 10:57:02.000000 UTC	N/A	-	-	-
* 328	4	Registry	0xbc88bc8e7080	4	-	N/A	False	2025-09-27 10:56:55.000000 UTC	N/A	Registry	-	-
* 924	4	smss.exe	0xbc88dca80100	2	-	N/A	False	2025-09-27 10:57:02.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 284	4	Secure System	0xbc88bc6f5040	0	-	N/A	False	2025-09-27 10:56:55.000000 UTC	N/A	-	-	-
* 3412	4	MemCompression	0xbc88ed1cd280	78	-	N/A	False	2025-09-27 10:57:09.000000 UTC	N/A	MemCompression	-	-
1352	1152	csrss.exe	0xbc88e4bb7140	16	-	0	False	2025-09-27 10:57:07.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\WINDOWS\system32\csrss.exe
1464	1152	wininit.exe	0xbc88eff4d240	1	-	0	False	2025-09-27 10:57:08.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\WINDOWS\system32\wininit.exe
* 1608	1464	lsass.exe	0xbc88f0a04080	14	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\lsass.exe	C:\WINDOWS\system32\lsass.exe	C:\WINDOWS\system32\lsass.exe
* 1808	1464	fontdrvhost.ex	0xbc88f0a44080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\WINDOWS\system32\fontdrvhost.exe
* 1548	1464	services.exe	0xbc88f0a020c0	8	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe
** 3584	1548	svchost.exe	0xbc88f2e650c0	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache	C:\WINDOWS\system32\svchost.exe
** 2052	1548	svchost.exe	0xbc88f0d6d080	4	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc	C:\WINDOWS\system32\svchost.exe
** 5636	1548	OfficeClickToR	0xbc88f390b080	24	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe	"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service	C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe
** 8	1548	svchost.exe	0xbc88ecf350c0	3	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost	C:\WINDOWS\system32\svchost.exe
** 3592	1548	TouchpointAnal	0xbc88f2e51080	14	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpanalyticscomp.inf_amd64_0f2b4c962c16d743\x64\TouchpointAnalyticsClientService.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpanalyticscomp.inf_amd64_0f2b4c962c16d743\x64\TouchpointAnalyticsClientService.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpanalyticscomp.inf_amd64_0f2b4c962c16d743\x64\TouchpointAnalyticsClientService.exe
** 5644	1548	MsMpEng.exe	0xbc88ec833080	87	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\ProgramData\Microsoft\Windows Defender\Platform\4.18.25080.5-0\MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25080.5-0\MsMpEng.exe"	C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25080.5-0\MsMpEng.exe
** 14348	1548	svchost.exe	0xbc88f2dcb0c0	2	-	0	False	2025-09-27 10:59:12.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p	C:\WINDOWS\System32\svchost.exe
** 6672	1548	svchost.exe	0xbc891448b080	4	-	3	False	2025-09-30 08:03:08.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p -s BluetoothUserService	C:\WINDOWS\system32\svchost.exe
** 2580	1548	svchost.exe	0xbc88ed1240c0	57	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm	C:\WINDOWS\System32\svchost.exe
** 3604	1548	AppHelperCap.e	0xbc88f2e70080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\AppHelperCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\AppHelperCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\AppHelperCap.exe
** 5652	1548	pg_ctl.exe	0xbc88f3910080	2	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\pg_ctl.exe	"C:\Program Files\PostgreSQL\17\bin\pg_ctl.exe" runservice -N "postgresql-x64-17" -D "C:\Program Files\PostgreSQL\17\data" -w	C:\Program Files\PostgreSQL\17\bin\pg_ctl.exe
*** 6964	5652	postgres.exe	0xbc88f3f76080	3	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:\Program Files\PostgreSQL\17\bin\postgres.exe" -D "C:\Program Files\PostgreSQL\17\data" 	C:\Program Files\PostgreSQL\17\bin\postgres.exe
**** 6976	6964	conhost.exe	0xbc88f3c460c0	4	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\conhost.exe	\??\C:\WINDOWS\system32\conhost.exe 0x4	C:\WINDOWS\system32\conhost.exe
**** 7232	6964	postgres.exe	0xbc88f3ff4080	2	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:/Program Files/PostgreSQL/17/bin/postgres.exe" --forkchild="checkpointer" 5444	C:\Program Files\PostgreSQL\17\bin\postgres.exe
**** 6528	6964	postgres.exe	0xbc88f20e4080	2	-	0	False	2025-09-27 10:57:11.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:/Program Files/PostgreSQL/17/bin/postgres.exe" --forkchild="wal_writer" 5428	C:\Program Files\PostgreSQL\17\bin\postgres.exe
**** 6532	6964	postgres.exe	0xbc88f208f080	3	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:/Program Files/PostgreSQL/17/bin/postgres.exe" --forkchild="syslogger" 5516	C:\Program Files\PostgreSQL\17\bin\postgres.exe
**** 7240	6964	postgres.exe	0xbc88f20e2080	2	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:/Program Files/PostgreSQL/17/bin/postgres.exe" --forkchild="bgwriter" 5452	C:\Program Files\PostgreSQL\17\bin\postgres.exe
**** 7496	6964	postgres.exe	0xbc88f21a50c0	2	-	0	False	2025-09-27 10:57:11.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:/Program Files/PostgreSQL/17/bin/postgres.exe" --forkchild="autovacuum launcher" 5432	C:\Program Files\PostgreSQL\17\bin\postgres.exe
**** 7376	6964	postgres.exe	0xbc89074d3080	0	-	0	False	2025-09-29 08:59:12.000000 UTC	2025-09-29 09:06:23.000000 UTC	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	-	-
**** 7320	6964	postgres.exe	0xbc88f20ee080	2	-	0	False	2025-09-27 10:57:11.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\PostgreSQL\17\bin\postgres.exe	"C:/Program Files/PostgreSQL/17/bin/postgres.exe" --forkchild="bgworker" 5492	C:\Program Files\PostgreSQL\17\bin\postgres.exe
** 11800	1548	svchost.exe	0xbc88edde1080	5	-	0	False	2025-09-30 08:43:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k wsappx -p -s AppXSvc	C:\WINDOWS\system32\svchost.exe
** 3620	1548	DiagsCap.exe	0xbc88f2e7c080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\DiagsCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\DiagsCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\DiagsCap.exe
** 2596	1548	svchost.exe	0xbc88f70fb080	1	-	0	False	2025-09-27 11:04:21.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s SstpSvc	C:\WINDOWS\system32\svchost.exe
** 3112	1548	svchost.exe	0xbc88f2c5b080	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog	C:\WINDOWS\System32\svchost.exe
** 3628	1548	NetworkCap.exe	0xbc88f2e7b080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\NetworkCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\NetworkCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\NetworkCap.exe
